Branch Name,Branch Code,Delivery PHP,Delivery USD,Deposit PHP,Deposit USD
AB Fernandez,2.22.018  ,0,0,0,0
"Agoo, La Union",2.22.042  ,0,0,0,0
Alaminos,2.22.004  ,0,0,0,0
Angeles,2.12.002  ,0,0,0,0
Anonas,1.21.008  ,0,0,0,0
Antipolo,1.21.009  ,0,0,0,0
Bacolod,3.13.002  ,0,0,0,0
Baguio,2.22.003  ,0,0,0,0
Balanga,2.12.015  ,0,0,0,0
Bambang,2.22.025  ,0,0,0,0
Barangka,1.11.026  ,0,0,0,0
Batangas City,2.32.004  ,0,0,0,0
Bayan Bayanan,1.21.021  ,0,0,0,0
Bicutan,1.31.005  ,0,0,0,0
Binakayan,2.32.009  ,0,0,0,0
Butuan,4.14.007  ,0,0,0,0
Cabanatuan,2.22.012  ,0,0,0,0
Cainta,1.21.014  ,0,0,0,0
Camiling,2.12.009  ,0,0,0,0
Candon,2.22.032  ,0,0,0,0
Capas,2.12.019  ,0,0,0,0
Capitol Square Balanga,2.12.030  ,0,0,0,0
Carmen,2.22.008  ,0,0,0,0
Cauayan,2.22.006  ,0,0,0,0
Cavite City,2.32.010  ,0,0,0,0
CB Urdaneta,2.22.015  ,0,0,0,0
CDO,4.14.002  ,0,0,0,0
CDO Gaisano,4.14.017  ,0,0,0,0
Cebu,3.13.001  ,0,0,0,0
Chinatown Puerto Princesa,3.13.024  ,0,0,0,0
"Citisquare, Malabon",1.21.029  ,0,0,0,0
City Place Square,1.11.027  ,0,0,0,0
CPG Tagbilaran,3.13.015  ,0,0,0,0
CSI Bayambang,2.22.038  ,0,0,0,0
CSI La Union,2.22.034  ,0,0,0,0
CSI Malasiqui,2.22.039  ,0,0,0,0
Dasmarinas,2.32.008  ,0,0,0,0
Dasmarinas Paliparan,2.32.016  ,0,0,0,0
Dau,2.12.003  ,0,0,0,0
Davao Bolton,4.14.001  ,0,0,0,0
Dinalupihan,2.12.005  ,0,0,0,0
Dumaguete,3.13.005  ,0,0,0,0
Florida Blanca,2.22.028  ,0,0,0,0
FM Quezon Ave.,1.21.031  ,0,0,0,0
Gaisano Mall Tagum,4.14.026  ,0,0,0,0
Gen. Santos,4.14.003  ,0,0,0,0
Gen. Santos Pioneer Ave.,4.14.016  ,0,0,0,0
Gerona,2.12.028  ,0,0,0,0
Head Office,1.11.998  ,0,0,0,0
Iligan,4.14.004  ,0,0,0,0
Iloilo,3.13.003  ,0,0,0,0
Imus,2.32.005  ,0,0,0,0
Iriga,2.42.004  ,0,0,0,0
"Isulan, Sultan Kudarat",4.14.032  ,0,0,0,0
Jaka,1.31.011  ,0,0,0,0
Kalibo,3.13.004  ,0,0,0,0
Kapasigan,1.11.004  ,0,0,0,0
Koronadal,4.14.009  ,0,0,0,0
La Union Plaza Hotel,2.22.027  ,0,0,0,0
Las Pinas,1.31.004  ,0,0,0,0
Legazpi,2.42.007  ,0,0,0,0
Limketkai CDO,4.14.031  ,0,0,0,0
Lipa,2.32.002  ,0,0,0,0
Los Banos,2.42.009  ,0,0,0,0
"Magic Star Mall, Tarlac",2.12.024  ,0,0,0,0
Malolos,2.12.010  ,0,0,0,0
Manggahan,2.32.013  ,0,0,0,0
Marymart Iloilo,3.13.025  ,0,0,0,0
Masinag,1.21.003  ,0,0,0,0
Midsayap Cotabato,4.14.028  ,0,0,0,0
"Moncada, Tarlac",2.12.031  ,0,0,0,0
New Farmers Plaza,1.11.028  ,0,0,0,0
Novo Olongapo,2.12.027  ,0,0,0,0
Olongapo,2.12.001  ,0,0,0,0
Paniqui Tarlac,2.12.022  ,0,0,0,0
Pasig,1.11.002  ,0,0,0,0
Pateros,1.11.019  ,0,0,0,0
PG GMA Cavite,2.32.020  ,0,0,0,0
PG Imus Anabu,2.32.019  ,0,0,0,0
PG Kalentong,1.11.029  ,0,0,0,0
PG Laoag,2.22.026  ,0,0,0,0
PG Sta. Rosa Tagapo,2.42.020  ,0,0,0,0
PG Taytay,1.21.028  ,0,0,0,0
Primark Guagua,2.12.033  ,0,0,0,0
Puerto Princesa,3.13.012  ,0,0,0,0
Puregold Calamba Crossing,2.42.021  ,0,0,0,0
Puregold Naga Centro,2.42.013  ,0,0,0,0
Puregold Naga Centro,2.42.024  ,0,0,0,0
Quezon Ave.- Cotabato,4.14.029  ,0,0,0,0
Real Las Pinas,1.31.008  ,0,0,0,0
Rob Galleria San Pedro,2.42.027  ,0,0,0,0
Rob Lipa,2.32.012  ,0,0,0,0
Rob Manila,1.31.015  ,0,0,0,0
Rosario Cavite,2.32.014  ,0,0,0,0
Roxas City,3.13.010  ,0,0,0,0
San Pablo,2.42.010  ,0,0,0,0
Santiago,2.22.005  ,0,0,0,0
Solano,2.22.017  ,0,0,0,0
Star Mall San Jose,2.12.020  ,0,0,0,0
Surigao,4.14.008  ,0,0,0,0
Tabaco,2.42.005  ,0,0,0,0
Tacurong,4.14.021  ,0,0,0,0
Tagbilaran,3.13.006  ,0,0,0,0
Taguig Bayan,1.11.023  ,0,0,0,0
Tagum,4.14.011  ,0,0,0,0
Tarlac,2.12.004  ,0,0,0,0
Tayuman,1.31.007  ,0,0,0,0
Toril,4.14.014  ,0,0,0,0
Tuguegarao,2.22.014  ,0,0,0,0
Urdaneta,2.22.007  ,0,0,0,0
VCM Tanauan,2.32.024  ,0,0,0,0
VH Limay,2.12.032  ,0,0,0,0
Vigan,2.22.011  ,0,0,0,0
Villa Angela Bacolod,3.13.022  ,0,0,0,0
VPS Antipolo,1.21.035  ,0,0,0,0
WM Gapan,2.22.013  ,0,0,0,0
WM Gen Trias,2.32.001  ,0,0,0,0
WM Munoz,1.21.024  ,0,0,0,0
WM Sta. Rosa,2.42.002  ,0,0,0,0
WM Subic,2.12.029  ,0,0,0,0
WM Sucat,1.31.022  ,0,0,0,0
